idoszak_id;kezdet;veg;statusz;termek;zaro_keszlet;fogyas;elteres;megjegyzes
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Liszt;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;TK liszt;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Olívaolaj;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Sonka;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Napolitan szalámi;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Pepperoni szalámi;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Calabra szalámi;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Szupercsípős szalámi;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Bacon;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Gyulai kolbász;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Mozzarella;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Parmezán;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Gorgonzola;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Ricotta;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Tartufata szósz;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Funghi mix;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Spenót;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Csokis mousse;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Tiramisu;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Profiterol;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Gelato Nutella;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Gelato Tartufata;;;;
2026-08-zaras;2026-08-01;2026-08-31;havi zaras;Gelato Pisztácia;;;;
