kategoria;termek;egyseg;beszerzesi_ar_ft;megjegyzes
Fő termékek;Liszt;kg;;egység a 2020-as árlistádból
Fő termékek;TK liszt;kg;;egység a 2020-as árlistádból
Fő termékek;Olívaolaj;L;;egység a 2020-as árlistádból
Húsok;Sonka;kg;;javasolt egység – erősítsd meg
Húsok;Napolitan szalámi;;;
Húsok;Pepperoni szalámi;;;
Húsok;Calabra szalámi;kg;;egység a 2020-as árlistádból
Húsok;Szupercsípős szalámi;;;
Húsok;Bacon;;;
Húsok;Gyulai kolbász;;;
Sajtok;Mozzarella;kg;;javasolt egység – erősítsd meg
Sajtok;Parmezán;kg;;egység a 2020-as árlistádból
Sajtok;Gorgonzola;kg;;egység a 2020-as árlistádból
Sajtok;Ricotta;kg;;egység a 2020-as árlistádból
Szárazáru;Tartufata szósz;;;
Szárazáru;Funghi mix;db;;egység a 2020-as árlistádból
Szárazáru;Spenót;kg;;javasolt egység – erősítsd meg
Italok;;;;ide írd be az italokat, ha megvannak
Édességek;Csokis mousse;;;
Édességek;Tiramisu;;;
Édességek;Profiterol;;;
Édességek;Gelato Nutella;;;
Édességek;Gelato Tartufata;;;
Édességek;Gelato Pisztácia;;;
Egyéb / eseti;;;;dobozok, eszközök, eseti kiemelt termékek – bővíthető
